Train Model: ResNet, Using device cuda:0

Loss: 0.070	Accuracy: 57 %
Accuracy for class bzx   is: 57.5 %
Accuracy for class cwx   is: 52.4 %
Accuracy for class hdx   is: 49.5 %
Accuracy for class mtx   is: 51.7 %
Accuracy for class nqx   is: 55.0 %
Accuracy for class nzx   is: 63.0 %
Accuracy for class qtx   is: 62.5 %
Accuracy for class sjx   is: 69.8 %
Accuracy for class zxx   is: 52.7 %

========== Train Epoch 50 ==========
Loss: 0.066	Accuracy: 58 %
Accuracy for class bzx   is: 62.3 %
Accuracy for class cwx   is: 42.7 %
Accuracy for class hdx   is: 58.6 %
Accuracy for class mtx   is: 58.6 %
Accuracy for class nqx   is: 61.5 %
Accuracy for class nzx   is: 66.7 %
Accuracy for class qtx   is: 57.5 %
Accuracy for class sjx   is: 65.6 %
Accuracy for class zxx   is: 50.0 %

========== Train Epoch 51 ==========
Loss: 0.049	Accuracy: 58 %
Accuracy for class bzx   is: 56.6 %
Accuracy for class cwx   is: 59.2 %
Accuracy for class hdx   is: 59.6 %
Accuracy for class mtx   is: 48.3 %
Accuracy for class nqx   is: 44.0 %
Accuracy for class nzx   is: 63.9 %
Accuracy for class qtx   is: 66.7 %
Accuracy for class sjx   is: 72.9 %
Accuracy for class zxx   is: 56.2 %

========== Train Epoch 52 ==========
Loss: 0.059	Accuracy: 60 %
Accuracy for class bzx   is: 60.4 %
Accuracy for class cwx   is: 62.1 %
Accuracy for class hdx   is: 58.6 %
Accuracy for class mtx   is: 47.4 %
Accuracy for class nqx   is: 56.9 %
Accuracy for class nzx   is: 66.7 %
Accuracy for class qtx   is: 60.8 %
Accuracy for class sjx   is: 77.1 %
Accuracy for class zxx   is: 57.1 %

========== Train Epoch 53 ==========
Loss: 0.067	Accuracy: 60 %
Accuracy for class bzx   is: 64.2 %
Accuracy for class cwx   is: 55.3 %
Accuracy for class hdx   is: 63.6 %
Accuracy for class mtx   is: 46.6 %
Accuracy for class nqx   is: 56.9 %
Accuracy for class nzx   is: 67.6 %
Accuracy for class qtx   is: 55.0 %
Accuracy for class sjx   is: 74.0 %
Accuracy for class zxx   is: 60.7 %

========== Train Epoch 54 ==========
Loss: 0.101	Accuracy: 57 %
Accuracy for class bzx   is: 60.4 %
Accuracy for class cwx   is: 42.7 %
Accuracy for class hdx   is: 49.5 %
Accuracy for class mtx   is: 50.0 %
Accuracy for class nqx   is: 58.7 %
Accuracy for class nzx   is: 69.4 %
Accuracy for class qtx   is: 56.7 %
Accuracy for class sjx   is: 67.7 %
Accuracy for class zxx   is: 58.9 %

========== Train Epoch 55 ==========
Loss: 0.098	Accuracy: 56 %
Accuracy for class bzx   is: 70.8 %
Accuracy for class cwx   is: 43.7 %
Accuracy for class hdx   is: 48.5 %
Accuracy for class mtx   is: 46.6 %
Accuracy for class nqx   is: 52.3 %
Accuracy for class nzx   is: 54.6 %
Accuracy for class qtx   is: 62.5 %
Accuracy for class sjx   is: 69.8 %
Accuracy for class zxx   is: 61.6 %

========== Train Epoch 56 ==========
Loss: 0.107	Accuracy: 58 %
Accuracy for class bzx   is: 66.0 %
Accuracy for class cwx   is: 48.5 %
Accuracy for class hdx   is: 50.5 %
Accuracy for class mtx   is: 54.3 %
Accuracy for class nqx   is: 46.8 %
Accuracy for class nzx   is: 70.4 %
Accuracy for class qtx   is: 65.0 %
Accuracy for class sjx   is: 65.6 %
Accuracy for class zxx   is: 61.6 %

========== Train Epoch 57 ==========
Loss: 0.082	Accuracy: 57 %
Accuracy for class bzx   is: 62.3 %
Accuracy for class cwx   is: 57.3 %
Accuracy for class hdx   is: 54.5 %
Accuracy for class mtx   is: 50.0 %
Accuracy for class nqx   is: 50.5 %
Accuracy for class nzx   is: 59.3 %
Accuracy for class qtx   is: 58.3 %
Accuracy for class sjx   is: 75.0 %
Accuracy for class zxx   is: 57.1 %

========== Train Epoch 58 ==========
Loss: 0.036	Accuracy: 58 %
Accuracy for class bzx   is: 67.9 %
Accuracy for class cwx   is: 50.5 %
Accuracy for class hdx   is: 53.5 %
Accuracy for class mtx   is: 37.1 %
Accuracy for class nqx   is: 60.6 %
Accuracy for class nzx   is: 63.0 %
Accuracy for class qtx   is: 61.7 %
Accuracy for class sjx   is: 67.7 %
Accuracy for class zxx   is: 62.5 %

========== Train Epoch 59 ==========
Loss: 0.078	Accuracy: 55 %
Accuracy for class bzx   is: 67.9 %
Accuracy for class cwx   is: 46.6 %
Accuracy for class hdx   is: 53.5 %
Accuracy for class mtx   is: 37.9 %
Accuracy for class nqx   is: 62.4 %
Accuracy for class nzx   is: 59.3 %
Accuracy for class qtx   is: 50.0 %
Accuracy for class sjx   is: 64.6 %
Accuracy for class zxx   is: 60.7 %

========== Train Epoch 60 ==========
Loss: 0.071	Accuracy: 59 %
Accuracy for class bzx   is: 63.2 %
Accuracy for class cwx   is: 52.4 %
Accuracy for class hdx   is: 64.6 %
Accuracy for class mtx   is: 48.3 %
Accuracy for class nqx   is: 50.5 %
Accuracy for class nzx   is: 63.0 %
Accuracy for class qtx   is: 57.5 %
Accuracy for class sjx   is: 78.1 %
Accuracy for class zxx   is: 61.6 %

========== Train Epoch 61 ==========
Loss: 0.083	Accuracy: 58 %
Accuracy for class bzx   is: 62.3 %
Accuracy for class cwx   is: 50.5 %
Accuracy for class hdx   is: 56.6 %
Accuracy for class mtx   is: 38.8 %
Accuracy for class nqx   is: 56.0 %
Accuracy for class nzx   is: 64.8 %
Accuracy for class qtx   is: 63.3 %
Accuracy for class sjx   is: 77.1 %
Accuracy for class zxx   is: 58.9 %

========== Train Epoch 62 ==========
Loss: 0.068	Accuracy: 59 %
Accuracy for class bzx   is: 67.9 %
Accuracy for class cwx   is: 49.5 %
Accuracy for class hdx   is: 53.5 %
Accuracy for class mtx   is: 43.1 %
Accuracy for class nqx   is: 59.6 %
Accuracy for class nzx   is: 63.9 %
Accuracy for class qtx   is: 53.3 %
Accuracy for class sjx   is: 77.1 %
Accuracy for class zxx   is: 66.1 %

========== Train Epoch 63 ==========
Loss: 0.040	Accuracy: 58 %
Accuracy for class bzx   is: 64.2 %
Accuracy for class cwx   is: 49.5 %
Accuracy for class hdx   is: 59.6 %
Accuracy for class mtx   is: 48.3 %
Accuracy for class nqx   is: 45.9 %
Accuracy for class nzx   is: 66.7 %
Accuracy for class qtx   is: 61.7 %
Accuracy for class sjx   is: 70.8 %
Accuracy for class zxx   is: 64.3 %

========== Train Epoch 64 ==========
Loss: 0.033	Accuracy: 57 %
Accuracy for class bzx   is: 56.6 %
Accuracy for class cwx   is: 52.4 %
Accuracy for class hdx   is: 66.7 %
Accuracy for class mtx   is: 52.6 %
Accuracy for class nqx   is: 57.8 %
Accuracy for class nzx   is: 63.0 %
Accuracy for class qtx   is: 54.2 %
Accuracy for class sjx   is: 65.6 %
Accuracy for class zxx   is: 47.3 %
Finished training!!!

Min loss = 1.296 in epoch 63, max Accuracy = 60.47% in epoch 51

ResNet(
